dateTime,dos1rate,peak_std,Lm_OPQ,MLT_OPQ,lat,lon,alt,Dist_In_Track,Lag_In_Track,Dist_Total,Loss_Cone_Type,flag,AE,time_cc,space_cc,time_spatial_A,time_spatial_B,peak_width_A,peak_width_B,leader_counts_10,follower_counts_10,leader_counts_05,follower_counts_05
2014-12-19 11:45:30.500000,290.002,2.840198975815812,6.667889999999999,10.7136,62.7607,-35.69300000000001,662.26,461.176,61.2438,461.42199999999997,0.0,4.0,51.0,0.09486783934206727,0.8703882487716177,2014-12-19 11:44:29.256200,2014-12-19 11:45:30.500000,,0.6187489583333333,1280.0095,2000.011,710.0049999999999,1300.0069999999998
2014-12-19 18:17:11.099999,340.0019999999999,14.832430684146145,7.2484199999999985,7.9818,63.5059,-134.134,663.7389999999998,463.721,61.5946,463.972,1.0,0.0,405.0,0.2884737242447917,0.892240898568602,2014-12-19 18:16:09.505399,2014-12-19 18:17:11.099999,,0.5533329777801481,1960.0104,2320.014,1140.0059999999999,1570.0089999999998
2014-12-19 18:17:12.300000,340.0019999999999,11.704742628524555,7.2797199999999975,7.97519,63.5759,-134.189,663.824,463.718,61.5946,463.968,1.0,0.0,405.0,0.09001246862066066,0.8956322828611353,2014-12-19 18:16:10.705400,2014-12-19 18:17:12.300000,,0.4868897845803909,1429.9867999999994,1809.9920000000002,959.983,1250.0059999999999
2014-12-19 21:33:52.899999,640.003,14.35273493101576,6.9721,7.4565899999999985,70.3503,170.045,670.69,464.995,61.7903,465.24699999999996,1.0,20.0,99.0,0.5361306800121671,0.8410112885266241,2014-12-19 21:33:52.899999,2014-12-19 21:34:54.690299,0.5654422742174978,0.9571428163267641,4740.026,4239.965999999999,2830.0150000000003,2389.956
2015-03-26 07:31:44.500000,170.00099999999995,1.4552094701964384,7.088310000000001,10.3977,69.2889,21.2179,632.797,243.68200000000002,32.2168,243.71599999999998,1.0,0.0,201.0,0.2613253155072939,0.8880046582678353,2015-03-26 07:31:12.283200,2015-03-26 07:31:44.500000,0.05719204011371444,0.6208181250000001,2470.014,1309.995,1470.0089999999998,830.0049999999999
2015-03-26 09:20:42.600000,280.002,4.724573055972843,10.4574,21.9979,66.8206,-145.679,660.1519999999998,242.736,32.2198,242.77,-1.0,0.0,43.0,0.07731680198284871,0.8094476303025153,2015-03-26 09:20:10.380200,2015-03-26 09:20:42.600000,0.07500012499937495,0.4038651185066346,740.0003999999999,1080.0069999999996,480.00299999999993,850.0053
2015-03-29 06:40:40.600000,280.002,15.297091226765964,7.1155,10.314,-59.1821,68.8704,664.064,226.15200000000002,30.03,226.187,0.0,0.0,330.0,-4.735507103406928e-06,0.8422753328116591,2015-03-29 06:40:10.570000,2015-03-29 06:40:40.600000,0.062499999999999466,0.8674999125004377,3040.0160000000005,2100.01,1640.0089999999998,1200.0059999999999
2015-03-29 07:14:50.100000,250.00099999999998,2.078816075444532,6.0784,10.3433,67.5979,27.2824,636.625,227.00400000000002,30.0256,227.032,1.0,16.0,285.0,0.07190860166536478,0.8214506651269488,2015-03-29 07:14:50.100000,2015-03-29 07:15:20.125600,0.4583326506954098,0.29996589154268005,1469.996,1779.995,1000.0049999999999,989.99
2015-03-29 07:16:14.000000,90.0005,1.8074016955012355,7.82445,10.3587,70.6577,23.3151,639.419,226.938,30.0308,226.965,0.0,0.0,272.0,0.5170191005152585,0.8641778650593219,2015-03-29 07:15:43.969200,2015-03-29 07:16:14.000000,0.7,0.7000214999230004,639.9984,599.9951999999997,359.9968,379.99399999999997
2015-03-29 12:53:06.900000,180.00099999999995,3.1666745370273923,5.89808,22.0257,-50.6137,132.625,706.052,223.946,29.9275,223.98,1.0,4.0,281.0,0.03591940123431673,0.8908312360951797,2015-03-29 12:52:36.972500,2015-03-29 12:53:06.900000,0.099969518593658,0.6423418483448164,979.9945,1349.9915,539.9915000000001,819.9879999999999
2015-03-29 13:44:06.000000,130.001,4.060828305687808,7.80175,9.53325,60.5228,-64.5874,631.5459999999998,225.667,29.8322,225.69299999999998,0.0,16.0,243.0,0.3173256056956761,0.8919662054711742,2015-03-29 13:44:06.000000,2015-03-29 13:44:35.832200,0.4933330666693333,0.1,890.0067,1449.9958,570.0045,900.0049999999999
2015-03-29 20:18:16.899999,440.00199999999995,3.358764392183305,7.0308699999999975,7.4783100000000005,68.9418,-170.041,639.066,223.955,29.6355,223.981,1.0,0.0,254.0,0.19912517401252366,0.8587221111139496,2015-03-29 20:17:47.264499,2015-03-29 20:18:16.899999,,0.7545454820932466,2790.015000000001,3260.018,1620.0099999999998,1830.0099999999998
2015-03-29 21:06:26.399999,330.0019999999999,14.7309538048288,4.65531,19.8471,-67.089,-0.118129,702.4630000000003,222.067,29.6492,222.101,0.0,16.0,115.0,0.11465743207244836,0.8738733342221622,2015-03-29 21:06:26.399999,2015-03-29 21:06:56.049199,0.67330806136409,,2899.9929999999995,4019.991,1550.009,2240.012
2015-03-30 01:12:06.900000,130.001,2.4961634704111098,6.32693,8.637039999999999,70.2236,114.926,640.514,222.773,29.4846,222.799,1.0,0.0,85.0,0.20826067033475407,0.9010890141389308,2015-03-30 01:11:37.415400,2015-03-30 01:12:06.900000,,0.5799930468620087,1069.9951,839.9974000000002,619.992,550.005
2015-03-30 11:42:57.899999,230.00099999999998,4.587325903116134,5.59888,22.248,-51.9389,149.68,704.488,217.97099999999998,29.1211,218.003,1.0,4.0,43.0,0.01531094355217645,0.8192172453946701,2015-03-30 11:42:28.778899,2015-03-30 11:42:57.899999,,0.634086234527073,1310.009,1530.0016999999998,790.0049999999999,940.0049999999999
