,-90.0,-86.9322033898305,-83.86440677966101,-80.79661016949153,-77.72881355932203,-74.66101694915254,-71.59322033898306,-68.52542372881356,-65.45762711864407,-62.389830508474574,-59.32203389830509,-56.2542372881356,-53.186440677966104,-50.11864406779661,-47.05084745762712,-43.98305084745763,-40.91525423728814,-37.847457627118644,-34.779661016949156,-31.711864406779668,-28.644067796610173,-25.576271186440678,-22.508474576271198,-19.440677966101703,-16.372881355932208,-13.305084745762713,-10.237288135593218,-7.169491525423737,-4.101694915254242,-1.0338983050847474,2.0338983050847332,5.101694915254228,8.169491525423723,11.237288135593218,14.305084745762713,17.372881355932194,20.44067796610169,23.508474576271183,26.576271186440664,29.64406779661016,32.711864406779654,35.77966101694915,38.847457627118644,41.91525423728814,44.983050847457605,48.0508474576271,51.118644067796595,54.18644067796609,57.254237288135585,60.32203389830508,63.389830508474574,66.45762711864407,69.52542372881356,72.59322033898303,75.66101694915253,78.72881355932202,81.79661016949152,84.86440677966101,87.9322033898305,91.0
-180.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0
-172.42857142857142,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
-164.85714285714286,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0
-157.28571428571428,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0
-149.71428571428572,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0
-142.14285714285714,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0
-134.57142857142856,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-127.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-119.42857142857143,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
