lat,Seconds
-90,208502.60000000003
-80,366325.39999999985
-70,254410.50000000017
-60,189687.49999999997
-50,111339.79999999997
-40,65568.70000000003
-30,61279.5
-20,63581.899999999994
-10,65631.30000000003
0,67022.99999999999
10,69229.69999999997
20,87488.30000000005
30,99074.79999999997
40,176967.00000000006
50,289252.2999999999
60,349361.70000000007
70,426615.7999999998
80,224878.60000000012
