lon,Seconds
-180,221210.79999999993
-150,179879.50000000017
-120,177308.2
-90,209121.00000000006
-60,247981.40000000005
-30,234510.70000000004
0,282932.1999999999
30,278969.4000000001
60,346508.0999999998
90,414417.9999999999
120,311534.00000000006
150,271845.0999999998
